"date","close","volume","open","high","low"
"2017/07/31","64.2700","694706.0000","64.0000","64.5400","63.8950"
"2017/07/28","63.7200","446929.0000","63.3100","63.8400","63.0400"
"2017/07/27","63.5300","627397.0000","64.2000","64.2000","63.0100"
"2017/07/26","64.0200","904936.0000","64.0600","64.2000","63.7100"
"2017/07/25","63.7100","614189.0000","63.7300","64.1900","63.3000"
"2017/07/24","63.6700","575058.0000","63.6000","63.8500","63.4100"
"2017/07/21","63.6300","616168.0000","63.9500","64.0400","63.3700"
"2017/07/20","63.9400","776696.0000","63.9600","64.0250","63.5201"
"2017/07/19","63.6300","1888680.0000","62.8400","63.6900","62.6978"
"2017/07/18","62.7300","816157.0000","62.6900","62.9100","62.3800"
"2017/07/17","62.9100","1123292.0000","61.3000","63.0100","60.9800"
"2017/07/14","61.2000","417750.0000","61.3200","61.5000","61.1000"
"2017/07/13","61.3000","770494.0000","61.5900","61.7300","61.1000"
"2017/07/12","61.5900","1028195.0000","61.9300","61.9300","61.3000"
"2017/07/11","61.5200","1071531.0000","61.4500","61.9900","61.1200"
"2017/07/10","61.5000","695811.0000","61.5600","61.7100","61.0500"
"2017/07/07","61.5100","557604.0000","60.9500","61.7400","60.8600"
"2017/07/06","60.8400","1318550.0000","60.3200","60.9100","60.1700"
"2017/07/05","60.8000","932353.0000","60.2800","61.0000","59.9250"
"2017/07/03","60.3600","672904.0000","61.1300","61.9700","60.3600"
"2017/06/30","61.1100","786126.0000","60.8200","61.4200","60.7900"
"2017/06/29","60.8000","1809545.0000","62.2900","62.4500","60.2700"
"2017/06/28","62.7000","1625662.0000","62.3000","62.9000","61.9300"
"2017/06/27","61.9800","1656554.0000","63.3500","63.4000","61.9400"
"2017/06/26","63.4500","994356.0000","63.7900","64.3500","63.3001"
"2017/06/23","63.6200","6463060.0000","63.4200","64.3400","63.3300"
"2017/06/22","63.5600","851511.0000","63.5500","64.1100","63.3200"
"2017/06/21","63.3200","1073134.0000","62.7300","63.5500","62.6800"
"2017/06/20","62.2300","887789.0000","62.7300","62.8700","62.1200"
"2017/06/19","62.6700","785653.0000","62.5000","63.1740","62.3000"
"2017/06/16","62.1200","1798791.0000","61.8500","62.3200","61.8500"
"2017/06/15","61.8500","1605114.0000","61.7600","61.9200","60.7700"
"2017/06/14","62.1700","1141020.0000","63.2500","63.3100","61.6800"
"2017/06/13","62.8200","1714575.0000","62.3700","63.1800","61.9300"
"2017/06/12","62.2400","2563430.0000","62.3100","62.6300","61.5700"
"2017/06/09","62.5600","3722631.0000","65.0000","65.2000","61.8600"
"2017/06/08","65.1000","3609132.0000","66.6700","67.4800","63.7000"
"2017/06/07","67.8300","1596744.0000","67.1300","67.8700","67.0000"
"2017/06/06","67.1300","1473516.0000","66.7100","67.3100","66.2600"
"2017/06/05","66.6100","2557297.0000","68.1400","68.2000","66.4200"
"2017/06/02","68.2500","2240355.0000","68.4100","69.0400","66.6600"
"2017/06/01","69.2800","2453072.0000","69.5000","69.7250","68.7200"
"2017/05/31","69.3900","9400777.0000","69.0500","69.3900","67.7800"
"2017/05/30","68.7500","2264627.0000","68.8000","69.3400","68.5600"
"2017/05/26","68.8000","875378.0000","68.5300","69.0800","68.3100"
"2017/05/25","68.6600","1685256.0000","68.2800","69.0800","68.1800"
"2017/05/24","68.0700","1184716.0000","67.5900","68.1200","67.3700"
"2017/05/23","67.3800","1416677.0000","67.8600","67.9800","67.0000"
