"date","close","volume","open","high","low"
"2014/05/09","1.0800","23300.0000","1.0800","1.0885","1.0800"
"2014/05/08","1.0800","70190.0000","1.1000","1.1000","1.0800"
"2014/05/07","1.1100","49193.0000","1.1100","1.1100","1.1000"
"2014/05/06","1.1300","4010.0000","1.1100","1.1300","1.1100"
"2014/05/05","1.1285","104635.0000","1.1100","1.1400","1.1100"
"2014/05/02","1.1430","10000.0000","1.1430","1.1430","1.1430"
"2014/05/01","1.1400","5075.0000","1.1400","1.1400","1.1400"
"2014/04/30","1.1315","13100.0000","1.1200","1.1315","1.1200"
"2014/04/29","1.1300","13170.0000","1.1300","1.1400","1.1300"
"2014/04/28","1.1166","78200.0000","1.1300","1.1300","1.1100"
"2014/04/25","1.1285","24525.0000","1.1385","1.1400","1.1200"
"2014/04/24","1.1300","20230.0000","1.1390","1.1400","1.1300"
"2014/04/23","1.1500","15100.0000","1.1500","1.1500","1.1330"
"2014/04/22","1.1700","32630.0000","1.1530","1.1700","1.1500"
"2014/04/21","1.2000","8768.0000","1.2070","1.2100","1.1900"
"2014/04/17","1.2100","24973.0000","1.2100","1.2100","1.2015"
"2014/04/16","1.2000","10525.0000","1.2100","1.2100","1.1900"
"2014/04/15","1.1800","8275.0000","1.2000","1.2000","1.1799"
"2014/04/14","1.2100","6150.0000","1.2300","1.2300","1.2100"
"2014/04/11","1.2099","188861.0000","1.2030","1.2200","1.2000"
"2014/04/10","1.2000","18816.0000","1.2000","1.2300","1.2000"
"2014/04/09","1.1600","50914.0000","1.1500","1.1700","1.1500"
"2014/04/08","1.1400","75900.0000","1.1440","1.1600","1.1400"
"2014/04/07","1.1600","11430.0000","1.1505","1.1600","1.1505"
"2014/04/04","1.1400","37717.0000","1.1410","1.1600","1.1400"
"2014/04/03","1.1700","11506.0000","1.1600","1.1800","1.1600"
"2014/04/02","1.1500","71500.0000","1.1600","1.1600","1.1500"
"2014/04/01","1.1500","28765.0000","1.1200","1.1600","1.1200"
"2014/03/31","1.1000","24872.0000","1.1060","1.1200","1.1000"
"2014/03/28","1.1001","329303.0000","1.1000","1.1020","1.0900"
"2014/03/27","1.0900","8675.0000","1.0900","1.1000","1.0900"
"2014/03/26","1.0800","119515.0000","1.1000","1.1000","1.0800"
"2014/03/25","1.0700","5050.0000","1.0800","1.0800","1.0700"
"2014/03/24","1.0900","1671580.0000","1.0900","1.0900","1.0820"
